id,car_class,city_mpg,combination_mpg,cylinders,displacement,drive,fuel_type,highway_mpg,make,model,transmission,year
1001,midsize,18,19,3,6,awd,diesel,21,BMW,X3,m,2014
1002,luxury,25,29,12,1.3,awd,gas,33,BMW,320i,a,2020
1003,luxury,108,110,0,0,rwd,electricity,113,Mercedes,C300,a,2014
1004,midsize,94,96,0,0,awd,electricity,99,Honda,Fit,a,2023
1005,compact,60,61,4,1.6,awd,diesel,62,Tesla,Model X,m,2015
1006,van,46,47,8,5.9,rwd,diesel,49,Nissan,Altima,a,2019
1007,midsize,41,44,6,4.7,awd,diesel,48,BMW,320i,a,2014
1008,midsize,26,28,10,5.3,4wd,diesel,30,Toyota,RAV4,a,2011
1009,truck,105,109,0,0,awd,electricity,113,BMW,528i,a,2020
1010,compact,115,117,0,0,4wd,electricity,120,Honda,CR-V,a,2011
1011,luxury,26,31,12,3.7,fwd,diesel,36,Chevrolet,Malibu,m,2010
1012,van,36,40,8,6,rwd,gas,44,Mercedes,C300,a,2016
1013,midsize,90,92,0,0,fwd,electricity,95,Tesla,Model S,m,2020
1014,economy,56,57,10,5.5,rwd,diesel,58,Chevrolet,Silverado,m,2017
1015,economy,111,114,0,0,4wd,electricity,117,Ford,Focus,m,2018
1016,midsize,39,43,4,5.1,awd,gas,48,Tesla,Model Y,a,2011
1017,fullsize,94,95,0,0,awd,electricity,96,Chevrolet,Cruze,m,2013
1018,truck,43,46,12,4.2,rwd,gas,49,Tesla,Model Y,m,2022
1019,van,103,104,0,0,4wd,electricity,106,Ford,Escape,a,2022
1020,suv,13,17,3,5.6,fwd,diesel,22,Tesla,Model Y,a,2012
1021,van,44,45,8,3.3,awd,diesel,46,Nissan,Versa,a,2022
1022,truck,15,16,12,4.2,rwd,gas,18,Chevrolet,Equinox,m,2017
1023,economy,59,60,10,6.4,4wd,gas,62,Nissan,Sentra,a,2012
1024,truck,55,59,8,6.1,4wd,diesel,64,Toyota,RAV4,m,2018
1025,truck,24,26,3,2.3,4wd,gas,28,Mercedes,E350,m,2011
1026,van,42,44,4,1.6,rwd,gas,47,Tesla,Model S,m,2017
