id,car_class,city_mpg,combination_mpg,cylinders,displacement,drive,fuel_type,highway_mpg,make,model,transmission,year
501,luxury,50,54,6,3.4,4wd,gas,59,Chevrolet,Malibu,m,2023
502,midsize,115,119,0,0,rwd,electricity,124,Nissan,Sentra,a,2018
503,luxury,55,56,10,1.1,rwd,diesel,57,Mercedes,GLE350,a,2016
504,van,57,58,4,5.5,fwd,diesel,59,Mercedes,GLE350,m,2016
505,compact,10,11,6,4.4,4wd,diesel,12,Honda,Civic,a,2013
506,midsize,43,44,3,3.7,rwd,diesel,46,Ford,F-150,a,2020
507,midsize,46,48,6,4.7,awd,diesel,50,Tesla,Model Y,m,2021
508,fullsize,20,22,10,2.8,4wd,gas,25,BMW,528i,a,2020
509,van,25,27,3,1.7,fwd,diesel,30,BMW,320i,m,2018
510,compact,55,57,10,3.4,awd,diesel,60,Tesla,Model 3,m,2019
511,midsize,37,38,4,3.9,awd,gas,39,BMW,320i,a,2018
512,compact,109,113,0,0,rwd,electricity,117,Toyota,RAV4,a,2018
513,luxury,119,123,0,0,awd,electricity,128,Honda,CR-V,a,2020
514,midsize,60,63,3,3.2,4wd,diesel,66,BMW,528i,a,2017
515,midsize,109,111,0,0,rwd,electricity,114,Toyota,Prius,m,2011
516,luxury,43,47,3,2.1,rwd,gas,51,Nissan,Versa,a,2021
517,compact,28,30,4,3.5,awd,diesel,32,Nissan,Versa,a,2023
518,midsize,12,15,10,4.9,4wd,diesel,19,Honda,Civic,a,2021
519,van,105,109,0,0,fwd,electricity,114,Nissan,Altima,m,2012
520,suv,92,96,0,0,fwd,electricity,100,Chevrolet,Equinox,a,2013
521,van,19,20,10,1.9,awd,gas,22,Tesla,Model X,m,2017
522,economy,90,92,0,0,awd,electricity,94,Nissan,Versa,m,2013
523,truck,119,122,0,0,fwd,electricity,126,BMW,X5,m,2012
524,economy,21,22,3,1.1,4wd,gas,24,Ford,Fusion,a,2014
525,fullsize,57,62,6,4.3,4wd,gas,67,Tesla,Model 3,m,2010
526,fullsize,102,104,0,0,rwd,electricity,106,Tesla,Model Y,m,2013
527,van,100,105,0,0,awd,electricity,110,Honda,Fit,m,2012
528,truck,59,60,10,2.6,4wd,diesel,62,Chevrolet,Malibu,m,2013
529,fullsize,29,30,6,3.2,fwd,gas,31,Honda,Accord,a,2022
530,suv,10,12,8,4.3,rwd,diesel,15,Honda,Fit,m,2018
531,midsize,15,16,4,2.3,rwd,gas,17,Chevrolet,Cruze,a,2019
532,economy,31,32,4,4.1,rwd,diesel,33,Tesla,Model 3,a,2015
533,van,13,16,6,5.7,fwd,gas,20,Chevrolet,Equinox,m,2012
534,midsize,31,35,8,6.3,awd,gas,40,Tesla,Model 3,m,2014
535,fullsize,29,33,12,4.9,fwd,diesel,38,Tesla,Model Y,a,2015
536,luxury,111,112,0,0,fwd,electricity,113,Honda,Accord,a,2023
537,compact,20,22,12,4.8,4wd,diesel,25,Toyota,Corolla,a,2017
538,compact,40,41,12,2.3,4wd,diesel,43,Tesla,Model S,m,2011
539,suv,114,116,0,0,awd,electricity,119,Ford,F-150,m,2022
540,suv,91,92,0,0,fwd,electricity,94,Nissan,Rogue,a,2013
541,economy,95,100,0,0,rwd,electricity,105,Mercedes,GLC300,m,2017
542,fullsize,10,13,6,3.5,awd,diesel,16,Ford,Fusion,m,2021
543,luxury,47,51,10,5.9,rwd,diesel,55,Nissan,Altima,a,2010
544,fullsize,46,47,3,5.5,fwd,diesel,49,BMW,320i,m,2014
545,luxury,24,27,3,5,fwd,gas,30,Tesla,Model S,a,2022
546,luxury,26,27,8,2.9,awd,diesel,28,Ford,Escape,m,2021
547,suv,53,57,4,2.6,awd,diesel,61,Chevrolet,Cruze,m,2019
548,luxury,93,97,0,0,fwd,electricity,102,Toyota,Prius,a,2019
549,truck,22,26,8,3,rwd,gas,30,BMW,320i,a,2010
550,van,24,26,4,4.5,4wd,gas,28,Mercedes,E350,a,2020
551,luxury,51,54,8,6.3,rwd,gas,57,Toyota,Prius,a,2014
552,midsize,11,15,10,2.1,awd,gas,20,Toyota,Camry,m,2012
553,truck,46,47,12,4,fwd,gas,48,Chevrolet,Equinox,a,2016
554,truck,52,53,6,2.7,awd,diesel,54,Toyota,Camry,m,2016
555,suv,118,121,0,0,4wd,electricity,124,Mercedes,GLC300,m,2015
556,truck,34,38,3,4.3,rwd,diesel,43,Toyota,Prius,a,2019
557,fullsize,108,110,0,0,awd,electricity,113,Mercedes,C300,m,2011
558,luxury,35,40,6,4.1,rwd,gas,45,BMW,320i,m,2015
559,van,33,35,3,3.9,rwd,gas,37,BMW,320i,a,2018
560,suv,42,44,6,1.2,4wd,gas,46,BMW,X5,a,2014
561,midsize,92,97,0,0,awd,electricity,102,Nissan,Versa,m,2014
562,truck,21,23,8,5.8,awd,gas,26,Tesla,Model 3,a,2023
563,fullsize,59,61,4,2.4,awd,diesel,63,Ford,Focus,a,2017
564,midsize,60,63,3,5.4,fwd,diesel,67,Honda,Accord,m,2011
565,economy,60,65,8,2.6,4wd,gas,70,BMW,320i,m,2015
566,suv,17,22,3,1.1,4wd,diesel,27,Ford,F-150,a,2017
567,compact,42,44,8,3,fwd,gas,47,Mercedes,GLE350,a,2020
568,fullsize,105,106,0,0,fwd,electricity,107,Nissan,Sentra,a,2020
569,suv,43,47,8,2.4,4wd,diesel,52,Tesla,Model Y,m,2017
570,fullsize,16,18,12,4.8,fwd,gas,20,Mercedes,GLC300,m,2020
571,luxury,57,58,3,3.4,fwd,gas,60,Honda,Fit,a,2011
572,suv,102,103,0,0,4wd,electricity,104,BMW,528i,m,2019
573,compact,35,37,8,1.1,fwd,gas,39,Tesla,Model Y,a,2016
574,fullsize,54,57,4,5.6,4wd,diesel,60,Toyota,Camry,m,2022
575,fullsize,12,15,4,5.1,4wd,gas,18,Nissan,Altima,m,2022
576,midsize,15,16,8,1.7,rwd,gas,18,Toyota,Corolla,a,2013
577,compact,25,27,10,6.5,4wd,diesel,30,Mercedes,GLC300,m,2015
578,fullsize,29,31,6,2.9,fwd,diesel,33,Toyota,RAV4,a,2020
579,truck,14,15,4,4.2,fwd,diesel,17,Toyota,Corolla,a,2021
580,fullsize,118,122,0,0,rwd,electricity,126,Toyota,Camry,a,2014
581,economy,117,121,0,0,4wd,electricity,125,Tesla,Model X,a,2012
582,compact,119,122,0,0,awd,electricity,126,Honda,Fit,a,2016
583,fullsize,30,32,8,1.1,awd,diesel,34,Toyota,RAV4,m,2023
584,truck,110,113,0,0,4wd,electricity,116,BMW,320i,a,2016
585,fullsize,22,25,10,1.5,fwd,diesel,29,BMW,X3,a,2018
586,luxury,34,37,4,5.7,rwd,gas,40,Tesla,Model X,a,2011
587,luxury,60,63,12,5.6,rwd,gas,67,Chevrolet,Malibu,m,2019
588,truck,107,111,0,0,fwd,electricity,116,BMW,X5,m,2018
589,suv,20,23,6,3,rwd,diesel,26,Chevrolet,Cruze,a,2014
590,van,49,51,6,2.1,awd,diesel,53,Mercedes,C300,m,2010
591,van,25,30,6,2.3,4wd,gas,35,Chevrolet,Equinox,m,2023
592,luxury,118,121,0,0,4wd,electricity,124,Tesla,Model S,m,2012
593,fullsize,53,54,3,3,awd,diesel,56,Toyota,RAV4,a,2016
594,midsize,56,58,10,6.2,awd,diesel,61,Nissan,Rogue,m,2015
595,compact,22,26,12,2.5,rwd,gas,30,Honda,Accord,a,2018
596,midsize,117,119,0,0,4wd,electricity,122,Toyota,RAV4,m,2010
597,suv,51,53,4,2.4,rwd,gas,56,Nissan,Altima,m,2018
598,suv,17,20,6,1.5,rwd,diesel,23,Tesla,Model S,a,2012
599,compact,32,36,3,5.4,rwd,gas,40,Nissan,Sentra,m,2018
600,midsize,31,32,4,4.2,rwd,gas,34,Nissan,Versa,a,2016
